ticker,median_dollar_volume,dollar_volume_rank,as_of_date,computed_month
CSX,37528027.087500006,170,2026-09-11,2026-09
BABA,37512690.900000006,171,2026-09-11,2026-09
TJX,37299559.225,172,2026-09-11,2026-09
NEM,36884671.2,173,2026-09-11,2026-09
NXPI,36747062.225,174,2026-09-11,2026-09
WULF,36342971.510000005,175,2026-09-11,2026-09
MCK,36200741.085,176,2026-09-11,2026-09
EQIX,36036607.0,177,2026-09-11,2026-09
IYR,35864161.557500005,178,2026-09-11,2026-09
DIA,35642659.44,179,2026-09-11,2026-09
CEG,35623892.355000004,180,2026-09-11,2026-09
PEP,35523810.315,181,2026-09-11,2026-09
AGG,35484843.16,182,2026-09-11,2026-09
CLS,35179000.235,183,2026-09-11,2026-09
HLT,35054669.04,184,2026-09-11,2026-09
SNPS,34956138.254999995,185,2026-09-11,2026-09
PM,34770584.474999994,186,2026-09-11,2026-09
SLB,34639992.6,187,2026-09-11,2026-09
MDLZ,34569356.832499996,188,2026-09-11,2026-09
UNP,34550346.879999995,189,2026-09-11,2026-09
MDB,34490387.75,190,2026-09-11,2026-09
MELI,34485841.83,191,2026-09-11,2026-09
DE,34382738.93,192,2026-09-11,2026-09
GILD,34190183.445,193,2026-09-11,2026-09
CVS,34140594.7675,194,2026-09-11,2026-09
STM,34102893.5325,195,2026-09-11,2026-09
TDG,34066639.035,196,2026-09-11,2026-09
CIFR,34041808.14,197,2026-09-11,2026-09
FDX,33848247.4875,198,2026-09-11,2026-09
RCL,33708637.21,199,2026-09-11,2026-09
HWM,33524572.865000002,200,2026-09-11,2026-09
